,fairness_method,model,stat_par,eq_odds,disp_imp,acc,hmean
0,adv,forest,0.0,0.0,1.0,0.757,0.926
1,adv,sdgclass,0.0,0.0,1.0,0.757,0.926
2,adv,svm,0.0,0.0,1.0,0.757,0.926
3,adv,logreg,0.0,0.023,0.999,0.741,0.913
4,adv,gradient_class,0.0,0.026,0.999,0.727,0.905
5,adv,tree,0.001,0.032,0.999,0.725,0.902
6,gerry,forest,0.074,0.084,0.257,0.806,0.545
7,gerry,gradient_class,0.074,0.084,0.257,0.806,0.545
8,gerry,logreg,0.074,0.084,0.257,0.806,0.545
9,gerry,sdgclass,0.074,0.084,0.257,0.806,0.545
10,gerry,svm,0.074,0.084,0.257,0.806,0.545
11,gerry,tree,0.074,0.084,0.257,0.806,0.545
